Date;Stock;Open;High;Low;Close;Resist;Support;GSLine;Trend
2020/07/14;INCI;550,00;550,00;470,00;470,00;590,00;486,00;D;Strong Uptrend
2020/07/14;INCO;3300,00;3300,00;3200,00;3250,00;3230,00;2770,00;U;Strong Uptrend
2020/07/14;INDF;6575,00;6625,00;6500,00;6600,00;6675,00;6400,00;D;Strong Uptrend
2020/07/14;INDO;118,00;159,00;111,00;159,00;119,00;110,00;U;Strong Uptrend
2020/07/14;INDR;2260,00;2260,00;2250,00;2260,00;2310,00;1980,00;U;Strong Uptrend
2020/07/14;INDS;2260,00;2260,00;2140,00;2240,00;2420,00;1940,00;U;Strong Uptrend
2020/07/14;INDX;50,00;50,00;50,00;50,00;50,00;50,00;D;Downtrend
2020/07/14;INDY;955,00;1040,00;915,00;920,00;710,00;690,00;U;Uptrend
2020/07/14;INKP;7725,00;7775,00;7250,00;7300,00;8075,00;6300,00;U;Strong Uptrend
2020/07/14;INOV;244,00;260,00;236,00;260,00;280,00;260,00;U;Strong Downtrend
2020/07/14;INPC;51,00;51,00;50,00;51,00;53,00;50,00;U;Uptrend
2020/07/14;INPP;700,00;700,00;660,00;700,00;700,00;570,00;U;Neutral
2020/07/14;INPS;1700,00;1810,00;1600,00;1615,00;2090,00;1620,00;U;Strong Downtrend
2020/07/14;INRU;810,00;865,00;800,00;865,00;850,00;780,00;U;Neutral
2020/07/14;INTA;274,00;278,00;262,00;278,00;280,00;262,00;U;Uptrend
2020/07/14;INTD;142,00;145,00;140,00;140,00;149,00;147,00;D;Strong Downtrend
2020/07/14;INTP;11675,00;11900,00;11650,00;11675,00;12075,00;11400,00;D;Uptrend
2017/10/20;INVS;117,00;117,00;117,00;117,00;117,00;117,00;N;Strong Uptrend
2020/07/14;IPCC;426,00;452,00;416,00;430,00;446,00;420,00;D;Uptrend
2020/07/14;IPCM;199,00;202,00;198,00;200,00;206,00;196,00;D;Uptrend
2020/07/14;IPOL;73,00;75,00;73,00;74,00;75,00;72,00;D;Strong Uptrend
2020/07/14;IPTV;360,00;362,00;350,00;354,00;382,00;366,00;D;Strong Downtrend
2020/07/14;IRRA;580,00;585,00;575,00;575,00;600,00;565,00;D;Strong Uptrend
2020/07/14;ISAT;2570,00;2640,00;2550,00;2550,00;2640,00;2300,00;D;Strong Uptrend
2020/07/14;ISSP;129,00;134,00;128,00;128,00;135,00;124,00;U;Uptrend
2020/07/14;ITIC;1125,00;1150,00;1080,00;1090,00;1440,00;1610,00;U;Strong Downtrend
2020/07/14;ITMA;410,00;410,00;410,00;410,00;410,00;410,00;D;Strong Uptrend
2020/07/14;ITMG;7800,00;7800,00;7625,00;7625,00;7875,00;7325,00;U;Neutral
2020/01/22;ITTG;82,00;82,00;82,00;82,00;82,00;82,00;U;Strong Uptrend
2020/07/14;JAST;93,00;102,00;93,00;98,00;112,00;90,00;U;Strong Downtrend
2020/07/14;JAWA;66,00;66,00;66,00;66,00;69,00;68,00;D;Downtrend
2020/07/14;JAYA;82,00;92,00;82,00;87,00;94,00;79,00;U;Strong Uptrend
2020/07/14;JECC;6800,00;6800,00;6800,00;6800,00;6950,00;6950,00;D;Strong Downtrend
2020/07/14;JGLE;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;JIHD;540,00;625,00;540,00;610,00;625,00;496,00;U;Strong Uptrend
2020/07/14;JKON;328,00;360,00;326,00;360,00;410,00;400,00;D;Strong Downtrend
2020/07/14;JKSW;60,00;60,00;60,00;60,00;60,00;60,00;N;Strong Uptrend
2020/07/14;JMAS;193,00;204,00;193,00;204,00;260,00;182,00;U;Neutral
2020/07/14;JPFA;1180,00;1180,00;1155,00;1165,00;1220,00;1140,00;D;Uptrend
2018/10/05;JPRS;168,00;168,00;168,00;168,00;200,00;168,00;D;Strong Downtrend
2020/07/14;JRPT;416,00;418,00;412,00;416,00;454,00;410,00;D;Uptrend
2020/07/14;JSKY;81,00;83,00;80,00;81,00;88,00;75,00;U;Strong Downtrend
2020/07/14;JSMR;4450,00;4450,00;4400,00;4400,00;4500,00;4390,00;D;Strong Uptrend
2020/07/14;JSPT;995,00;995,00;995,00;995,00;995,00;995,00;D;Strong Uptrend
2020/07/14;JTPE;775,00;780,00;775,00;775,00;780,00;765,00;U;Strong Uptrend
2020/07/14;KAEF;1200,00;1430,00;1180,00;1340,00;1170,00;1125,00;U;Uptrend
2020/07/14;KARW;50,00;50,00;50,00;50,00;51,00;50,00;D;Strong Downtrend
2020/07/14;KAYU;50,00;62,00;50,00;53,00;50,00;50,00;U;Strong Uptrend
2020/07/14;KBAG;402,00;402,00;392,00;394,00;408,00;390,00;D;Strong Uptrend
2020/07/14;KBLI;426,00;434,00;406,00;410,00;470,00;390,00;D;Strong Uptrend
